Feature,Values,Enc_info
count_situ_prec_tumour,max,3.0
count_situ_prec_tumour,min,0.0
total_count_slnb_ldn,max,57.0
total_count_slnb_ldn,min,0.0
total_positives_slnb_ldn,max,21.0
total_positives_slnb_ldn,min,0.0
MC1R,max,1.0
MC1R,min,0.0
age,max,97.5972602739726
age,min,6.920765027322401
specific_death,max,1.0
specific_death,min,0.0
months_survival,max,253.0
months_survival,min,0.0
LAB1300,max,123.9
LAB1300,min,0.0
LAB1301,max,722.0
LAB1301,min,0.0
LAB1307,max,44.2
LAB1307,min,0.0
LAB1309,max,101.7
LAB1309,min,0.0
LAB1311,max,2.76
LAB1311,min,0.0
LAB1313,max,0.82
LAB1313,min,0.0
LAB1314,max,19.5
LAB1314,min,0.0
LAB1316,max,5.5
LAB1316,min,0.0
LAB2404,max,172.0
LAB2404,min,0.0
LAB2405,max,318.0
LAB2405,min,0.0
LAB2406,max,1746.0
LAB2406,min,0.0
LAB2407,max,10.5
LAB2407,min,0.0
LAB2419,max,1230.0
LAB2419,min,0.0
LAB2422,max,416.0
LAB2422,min,0.0
LAB2467,max,7.5
LAB2467,min,0.0
LAB2469,max,377.0
LAB2469,min,0.0
LAB2476,max,1942.0
LAB2476,min,0.0
LAB2498,max,88.0
LAB2498,min,0.0
LAB2544,max,26.2
LAB2544,min,0.0
LAB2679,max,9.04
LAB2679,min,0.0
LAB4176,max,105.0
LAB4176,min,0.0
neutrofils_per_limfocits,max,24.7916666666667
neutrofils_per_limfocits,min,0.0
limfocits_per_monocits,max,169.5
limfocits_per_monocits,min,0.0
LABGF_filtrat_glomerular,max,234.44610922806598
LABGF_filtrat_glomerular,min,0.0
missLymp,max,0.0
missLymp,min,0.0
missLAB,max,1.0
missLAB,min,0.0
missBIO,max,1.0
missBIO,min,0.0
missBIO2,max,1.0
missBIO2,min,0.0
missNEU,max,1.0
missNEU,min,0.0
